Breed,Country,Origin,Weight,Height,Life expectancy
Австралийская овчарка (Аусси),США,,25,51,13
Акита-ину,Япония,1964 год,–,64,10
Алабай (Среднеазиатская овчарка),СССР,XX век,минимум,минимум,от
Аляскинский кли-кай,США,1970-е годы,–,38,13
Аляскинский маламут,США,,36,"63,5",13
Американская акита,"Япония,",1955 год,кг,65,10
Американский булли,США,,кг,см,8
Американский бульдог,США,конец XIX века,32,55,11
Американский кокер-спаниель,США,,кг,"36,8",13
Американский стаффордширский терьер,США,1936 год,25,46,10
Английский бульдог,Великобритания,,24,40,7
Английский кокер-спаниель,Великобритания,XIX век,кг,39,13
Английский мастиф,Великобритания,,около,от,9
Английский пойнтер,Великобритания,,кг,63,12
Английский сеттер,Великобритания,,25,65,10
Аргентинский дог,Аргентина,1928 год,40,60,10
Афганская борзая,Афганистан,,20,64,11
Аффенпинчер,Германия,,кг,см,
Басенджи,Центральная,около 3000 до н. э.,11,43,12
Бассет-хаунд,Великобритания,XX век,кг,см,10
Бедлингтон-терьер,Великобритания,,кг,41,11
Белая швейцарская овчарка,Швейцария,,30,58,13
Бельгийская овчарка,Бельгия,1891 год,25,60,
Бельгийский гриффон,Бельгия,,кг,см,
Бернский зенненхунд,Швейцария,1910 год,39,64,8
Бигль,Великобритания,,кг,см,11
Бишон фризе,"Франция,",,кг,см,12
Бладхаунд,Бельгия,XIII век,46,64,10
Бобтейл,Великобритания,1888 год,кг,от,12
boxer,Германия,1850 год, 30,57,11
Бордер-колли,Великобритания,1570 год,кг,50,12
Бордер-терьер,Великобритания,середина XIX века,кг,см,12
Бордоский дог,Франция,1954 год,не,60,9
Босерон,Франция,,кг,65,10
Бостон-терьер,США,,кг,см,11
Бриар,Франция,,30,62,11
Брюссельский гриффон,Бельгия,,кг,см,12
Бульмастиф,Великобритания,1924 год,50,63,10
Бультерьер,Великобритания,XIX век,кг,см,11
Бурбуль,Южная,,65,64,10
Веймаранер,Германия,,25,59,10
Вельш-корги кардиган,Великобритания,,14,27,12
Вельш-корги пемброк,Великобритания,X век,кг,см,9
Вельштерьер,Великобритания,,кг,39,12
Венгерская выжла,Венгрия,,20,58,12
Вест-хайленд-уайт-терьер,Шотландия,,7,25,12
Восточно-сибирская лайка,СССР,XIX век,кг,57,12
Восточноевропейская овчарка,Россия,12-13 лет,35,66,12
Грейхаунд,Великобритания,,29,71,9
Далматин,Хорватия,1791 год,27,56,10
Джек-рассел-терьер,Великобритания,первая половина XIX века,кг,см,13
doberman,Германия,1890 год,40,68,10
Дратхаар,Германия,конец XIX века,кг,61,12
Западно-сибирская лайка,СССР,1920-е гг.,кг,55,10
Золотистый ретривер,Великобритания,XIX век,26,56,12
Ирландский волкодав,Ирландия,,от,не,8
Ирландский сеттер,Ирландия,XIX век,кг,58,
Ирландский терьер,Ирландия,,"12,25",см,13
Испанский мастиф,Испания,,кг,не,9
Йоркширский терьер,Англия,конец XIX века,кг,см,12
Ка-де-бо,Испания,,30,55,10
Кавалер-кинг-чарльз-спаниель,Великобритания,XVII век,"5,5",32,11
ovcharka,Россия,,50,68,10
Канарский дог,Испания,,от,60,9
Кане-корсо,Италия,,45,64,9
Карело-финская лайка,Финляндия,,12,42,12
Кеесхонд,Германия,,кг,см,14
Керн-терьер,Шотландия,,кг,см,13
Керри-блю-терьер,Ирландия,,кг,"45,5",12
Китайская хохлатая собака,Китай,,кг,28,12
Ксолоитцкуинтли,Мексика,5000-3000 лет до н. э.,4,25,12
Курцхаар,Германия,начало XIX века,25,62,12
labrador,Канада,XIX век,27,56,12
Левретка,Италия,20-30 годы XX века,5,см,13
Леонбергер,Германия,,59,74,9
Лхаса апсо,Тибет,,кг,см,12
Мальтийская болонка,Италия,,кг,21,12
Мальтипу,,,кг,см,12
Маремма-абруццкая овчарка,Италия,,35,65,11
Миттельшнауцер,Германская,1879,кг,см,13
Мопс,Древний,,кг,см,13
Московская сторожевая собака,Россия,середина XX века,55,65,9
Неаполитанский мастиф,Италия,,60,65,9
Немецкая овчарка,Германия,конец XIX века,30,60,10
Немецкий дог,Германия,1878 год,кг,80,8
Немецкий пинчер,Германия,1879,кг,см,13
Немецкий ягдтерьер,Германия,1930-1940-е годы,9,см,9
Норвич-терьер,Великобритания,,кг,см,12
Ньюфаундленд,Канада,, 68, 71,9
Папильон,Франция,,кг,см,13
Парсон-рассел-терьер,Великобритания,,кг,см,13
Пекинес,Китай,,"3,2",см,12
Пиренейская горная собака,Франция,,,70,
pitbull,США,,16,46,12
Померанский шпиц,Германия,XVIII век,кг,см,12
Помски,США,2013 год,кг,см,12
Пражский крысарик,Чехия,,кг,см,12
Пти-брабансон,Бельгия,,3,см,12
Пудель,Франция,,20,45,12
Ризеншнауцер,Германия,XVII век,кг,см,12
Родезийский риджбек,Южная,,≈,63,
Ротвейлер,Германия,середина XVIII века, 50,61,11
Русская гончая,Россия,,кг,58,12
Русская пегая гончая,Россия,,кг,58,12
Русская псовая борзая,Россия,XVII век,35,75,9
Русский охотничий спаниель,Россия,1951 год,кг,38,12
Русский той-терьер,Россия,,кг,см,10
Русский черный терьер,СССР,1950-е годы,50,66,10
Салюки,Ближний,,кг,см,12
Самоедская собака,Сибирь,XI век до н. э.,кг,см,12
Сенбернар,Швейцария,середина XVII века,менее,70,9
Сиба-ину,Япония,III век до н. э.,9,40,12
husky,Россия,1966 год,20,53,12
Скотч-терьер,Шотландия,,"8,5",см,12
Стаффордширский бультерьер,Великобритания,,"12,7","см,",12
Тайский риджбек,Таиланд,,кг,61,
